d18O,age_ka
3.130296135,10
2.745236981,15
2.818093408,20
2.799935324,21
3.095687473,22
2.528631572,30
2.53765964,43
2.633038243,47
3.250677389,57
3.234514568,65
3.135264751,88
3.299322111,88
3.08210482,112
2.565182011,125
2.505654591,130
2.503910198,143
2.79420581,145
3.100613555,174
3.085862887,190
2.816935286,220
2.547650644,230
2.646281478,259
3.232634284,269
2.589955905,291
3.49800378,308
3.22515949,335
2.816590139,380
3.064795565,381
2.724057344,387
3.328256655,398
2.755949283,398
2.802328479,431
2.983417079,434
2.808874669,435
2.545128282,444
3.175583619,447
3.408813188,486
3.035853414,495
3.385307574,509
3.318585591,510
3.243343399,514
2.952802667,514
3.044011171,520
2.76536925,548
2.930882928,554
3.396802542,559
2.84843134,597
3.304617926,606
3.007917257,619
2.838972909,630
3.105178455,632
3.104943209,648
3.068182032,649
3.348855595,651
2.970443239,651
3.484288869,656
3.208989772,661
3.183210641,664
2.737703204,715
2.89223136,716
3.183258722,720
3.323543346,722
3.352712701,725
2.709811104,728
2.753808556,745
2.712015366,763
3.005120663,764
2.571346151,764
2.595010546,795
3.060373606,843
3.283572361,843
3.025189204,857
3.182038339,865
2.565340871,871
3.321151114,876
3.26990079,882
3.24248038,890
3.427383552,902
3.392103613,903
2.797549208,910
3.225269167,912
3.150479387,926
2.78621743,927
3.435228785,928
3.361855174,937
3.031016578,972
3.172212971,976
3.167051663,1002
2.516743014,1013
2.792080101,1023
2.846043652,1035
3.13675903,1060
3.112658924,1061
3.460538052,1068
3.146626372,1071
3.205355499,1082
3.089285042,1083
3.197281857,1089
2.685424597,1090
3.141558591,1096
3.197863786,1107
3.468933895,1114
2.675871562,1135
3.364973238,1151
2.864176816,1160
3.204813329,1177
3.203555358,1182
3.133236777,1197
3.405500059,1207
2.559853142,1214
3.27464001,1226
3.339201997,1235
2.758916337,1238
2.699022678,1241
2.904620692,1249
2.677778177,1276
2.760258364,1327
2.619078966,1329
3.147564469,1338
3.427999286,1355
3.184280627,1369
3.385719038,1377
2.61075237,1382
2.507246335,1388
2.844977274,1389
3.086460335,1395
3.246457381,1418
3.164340982,1418
3.480988487,1419
2.8029827,1431
3.033945205,1432
3.490151256,1444
2.973268002,1454
3.473540769,1466
3.180926397,1467
3.35206624,1471
2.905940478,1487
2.954731411,1498
3.361983121,1502
2.873292895,1510
3.080862101,1520
2.905638132,1549
2.706285952,1556
2.674705526,1557
2.665453288,1586
2.865797522,1597
2.72127088,1607
2.918142475,1612
2.677423546,1616
3.225610508,1636
3.462885011,1666
2.59621511,1674
3.32670704,1678
3.336479366,1692
3.166715357,1697
3.325335591,1714
3.026349008,1716
3.120136033,1723
2.963222133,1741
2.989067634,1767
3.445158681,1773
3.001250016,1774
3.054464734,1796
3.378470919,1805
2.981442305,1825
3.336632778,1832
3.162459857,1842
3.047246127,1859
2.517510005,1863
2.863729949,1871
3.34136112,1902
2.718381879,1923
3.387477923,1923
2.83445963,1935
2.724655674,1947
2.940532674,1949
3.097016952,1951
3.370039687,1956
2.745940627,1978
2.880379595,1989
3.054403754,1992
2.789578654,1996
3.397742,2001
3.38904983,2008
2.845934237,2017
2.869573101,2033
2.642581212,2061
2.898643136,2061
3.096424472,2063
3.055016767,2068
3.280758537,2072
2.568455933,2075
2.728278024,2103
3.044112608,2130
2.69533161,2151
2.608181173,2167
2.873490648,2171
3.38871761,2178
2.950209753,2211
2.954862783,2238
3.118557637,2251
3.281224653,2272
2.942359013,2276
2.935663043,2278
3.251083731,2297
3.187312032,2306
3.162368865,2314
3.409459393,2355
3.088752047,2358
2.777132201,2363
2.81816605,2363
3.210026223,2368
3.04946598,2374
3.020984606,2379
2.700765064,2390
3.202204015,2404
2.91328618,2413
2.787734805,2438
3.06337269,2456
2.94866805,2461
2.692856346,2476
2.751865799,2490
3.118759338,2497
